Model	Transcription factor	Model length	Quality	TF family	EntrezGene	UniProt ID
HXA5_HUMAN.H10MO.D	HOXA5	10	D	HOX-related factors{3.1.1}	3202	HXA5_HUMAN
HXA7_HUMAN.H10MO.D	HOXA7	15	D	HOX-related factors{3.1.1}	3204	HXA7_HUMAN
HXA9_HUMAN.H10MO.D	HOXA9	14	D	HOX-related factors{3.1.1}	3205	HXA9_HUMAN
HXB13_HUMAN.H10MO.D	HOXB13	11	D	HOX-related factors{3.1.1}	10481	HXB13_HUMAN
HXB1_HUMAN.H10MO.D	HOXB1	10	D	HOX-related factors{3.1.1}	3211	HXB1_HUMAN
HXB2_HUMAN.H10MO.D	HOXB2	15	D	HOX-related factors{3.1.1}	3212	HXB2_HUMAN
HXB3_HUMAN.H10MO.D	HOXB3	14	D	HOX-related factors{3.1.1}	3213	HXB3_HUMAN
HXB6_HUMAN.H10MO.D	HOXB6	13	D	HOX-related factors{3.1.1}	3216	HXB6_HUMAN
HXB7_HUMAN.H10MO.C	HOXB7	10	C	HOX-related factors{3.1.1}	3217	HXB7_HUMAN
HXB8_HUMAN.H10MO.C	HOXB8	11	C	HOX-related factors{3.1.1}	3218	HXB8_HUMAN
HXC10_HUMAN.H10MO.D	HOXC10	19	D	HOX-related factors{3.1.1}	3226	HXC10_HUMAN
HXC11_HUMAN.H10MO.D	HOXC11	11	D	HOX-related factors{3.1.1}	3227	HXC11_HUMAN
HXC12_HUMAN.H10MO.D	HOXC12	12	D	HOX-related factors{3.1.1}	3228	HXC12_HUMAN
HXC13_HUMAN.H10MO.D	HOXC13	11	D	HOX-related factors{3.1.1}	3229	HXC13_HUMAN
HXC6_HUMAN.H10MO.D	HOXC6	15	D	HOX-related factors{3.1.1}	3223	HXC6_HUMAN
HXC8_HUMAN.H10MO.D	HOXC8	14	D	HOX-related factors{3.1.1}	3224	HXC8_HUMAN
HXD10_HUMAN.H10MO.D	HOXD10	10	D	HOX-related factors{3.1.1}	3236	HXD10_HUMAN
HXD11_HUMAN.H10MO.D	HOXD11	11	D	HOX-related factors{3.1.1}	3237	HXD11_HUMAN
HXD12_HUMAN.H10MO.D	HOXD12	11	D	HOX-related factors{3.1.1}	3238	HXD12_HUMAN
HXD13_HUMAN.H10MO.D	HOXD13	11	D	HOX-related factors{3.1.1}	3239	HXD13_HUMAN
HXD3_HUMAN.H10MO.D	HOXD3	11	D	HOX-related factors{3.1.1}	3232	HXD3_HUMAN
HXD4_HUMAN.H10MO.D	HOXD4	8	D	HOX-related factors{3.1.1}	3233	HXD4_HUMAN
HXD8_HUMAN.H10MO.D	HOXD8	11	D	HOX-related factors{3.1.1}	3234	HXD8_HUMAN
HXD9_HUMAN.H10MO.D	HOXD9	10	D	HOX-related factors{3.1.1}	3235	HXD9_HUMAN
ID4_HUMAN.H10MO.D	ID4	11	D	HLH domain only{1.2.8}	3400	ID4_HUMAN
IKZF1_HUMAN.H10MO.C	IKZF1	8	C	Factors with multiple dispersed zinc fingers{2.3.4}	10320	IKZF1_HUMAN
INSM1_HUMAN.H10MO.C	INSM1	12	C	Factors with multiple dispersed zinc fingers{2.3.4}	3642	INSM1_HUMAN
IRF1_HUMAN.H10MO.A	IRF1	20	A	Interferon-regulatory factors{3.5.3}	3659	IRF1_HUMAN
IRF2_HUMAN.H10MO.C	IRF2	14	C	Interferon-regulatory factors{3.5.3}	3660	IRF2_HUMAN
IRF3_HUMAN.H10MO.C	IRF3	17	C	Interferon-regulatory factors{3.5.3}	3661	IRF3_HUMAN
IRF4_HUMAN.H10MO.C	IRF4	16	C	Interferon-regulatory factors{3.5.3}	3662	IRF4_HUMAN
IRF5_HUMAN.H10MO.D	IRF5	20	D	Interferon-regulatory factors{3.5.3}	3663	IRF5_HUMAN
IRF7_HUMAN.H10MO.C	IRF7	10	C	Interferon-regulatory factors{3.5.3}	3665	IRF7_HUMAN
IRF8_HUMAN.H10MO.D	IRF8	15	D	Interferon-regulatory factors{3.5.3}	3394	IRF8_HUMAN
IRF9_HUMAN.H10MO.C	IRF9	12	C	Interferon-regulatory factors{3.5.3}	10379	IRF9_HUMAN
IRX2_HUMAN.H10MO.D	IRX2	19	D	TALE-type homeo domain factors{3.1.4}	153572	IRX2_HUMAN
IRX3_HUMAN.H10MO.D	IRX3	11	D	TALE-type homeo domain factors{3.1.4}	79191	IRX3_HUMAN
ISL1_HUMAN.H10MO.D	ISL1	7	D	HD-LIM factors{3.1.5}	3670	ISL1_HUMAN
ISL2_HUMAN.H10MO.D	ISL2	11	D	HD-LIM factors{3.1.5}	64843	ISL2_HUMAN
ISX_HUMAN.H10MO.D	ISX	16	D	Paired-related HD factors{3.1.3}	91464	ISX_HUMAN
ITF2_HUMAN.H10MO.B	TCF4	9	B	E2A-related factors{1.2.1}	6925	ITF2_HUMAN
JDP2_HUMAN.H10MO.D	JDP2	12	D	Fos-related factors{1.1.2}	122953	JDP2_HUMAN
JUNB_HUMAN.H10MO.C	JUNB	11	C	Jun-related factors{1.1.1}	3726	JUNB_HUMAN
JUND_HUMAN.H10MO.A	JUND	11	A	Jun-related factors{1.1.1}	3727	JUND_HUMAN
JUN_HUMAN.H10MO.A	JUN	9	A	Jun-related factors{1.1.1}	3725	JUN_HUMAN
KAISO_HUMAN.H10MO.A	ZBTB33	19	A	Other factors with up to three adjacent zinc fingers{2.3.2}	10009	KAISO_HUMAN
KAISO_HUMAN.H10MO.S	ZBTB33	12	S	Other factors with up to three adjacent zinc fingers{2.3.2}	10009	KAISO_HUMAN
KLF12_HUMAN.H10MO.D	KLF12	12	D	Three-zinc finger Krüppel-related factors{2.3.1}	11278	KLF12_HUMAN
KLF13_HUMAN.H10MO.D	KLF13	11	D	Three-zinc finger Krüppel-related factors{2.3.1}	51621	KLF13_HUMAN
KLF14_HUMAN.H10MO.D	KLF14	13	D	Three-zinc finger Krüppel-related factors{2.3.1}		KLF14_HUMAN
KLF15_HUMAN.H10MO.D	KLF15	17	D	Three-zinc finger Krüppel-related factors{2.3.1}	28999	KLF15_HUMAN
KLF16_HUMAN.H10MO.D	KLF16	19	D	Three-zinc finger Krüppel-related factors{2.3.1}	83855	KLF16_HUMAN
KLF1_HUMAN.H10MO.C	KLF1	11	C	Three-zinc finger Krüppel-related factors{2.3.1}	10661	KLF1_HUMAN
KLF3_HUMAN.H10MO.D	KLF3	15	D	Three-zinc finger Krüppel-related factors{2.3.1}	51274	KLF3_HUMAN
KLF4_HUMAN.H10MO.A	KLF4	10	A	Three-zinc finger Krüppel-related factors{2.3.1}	9314	KLF4_HUMAN
KLF6_HUMAN.H10MO.D	KLF6	8	D	Three-zinc finger Krüppel-related factors{2.3.1}	1316	KLF6_HUMAN
KLF8_HUMAN.H10MO.C	KLF8	9	C	Three-zinc finger Krüppel-related factors{2.3.1}	11279	KLF8_HUMAN
LBX2_HUMAN.H10MO.D	LBX2	11	D	NK-related factors{3.1.2}	85474	LBX2_HUMAN
LEF1_HUMAN.H10MO.C	LEF1	7	C	TCF-7-related factors{4.1.3}	51176	LEF1_HUMAN
LHX2_HUMAN.H10MO.D	LHX2	13	D	HD-LIM factors{3.1.5}	9355	LHX2_HUMAN
LHX3_HUMAN.H10MO.C	LHX3	13	C	HD-LIM factors{3.1.5}	8022	LHX3_HUMAN
LHX4_HUMAN.H10MO.D	LHX4	11	D	HD-LIM factors{3.1.5}	89884	LHX4_HUMAN
LHX6_HUMAN.H10MO.D	LHX6	18	D	HD-LIM factors{3.1.5}	26468	LHX6_HUMAN
LHX8_HUMAN.H10MO.D	LHX8	18	D	HD-LIM factors{3.1.5}	431707	LHX8_HUMAN
LHX9_HUMAN.H10MO.D	LHX9	18	D	HD-LIM factors{3.1.5}	56956	LHX9_HUMAN
LMX1A_HUMAN.H10MO.D	LMX1A	19	D	HD-LIM factors{3.1.5}	4009	LMX1A_HUMAN
LMX1B_HUMAN.H10MO.D	LMX1B	18	D	HD-LIM factors{3.1.5}	4010	LMX1B_HUMAN
MAFA_HUMAN.H10MO.D	MAFA	21	D	Maf-related factors{1.1.3}	389692	MAFA_HUMAN
MAFB_HUMAN.H10MO.D	MAFB	9	D	Maf-related factors{1.1.3}	9935	MAFB_HUMAN
MAFF_HUMAN.H10MO.A	MAFF	22	A	Maf-related factors{1.1.3}	23764	MAFF_HUMAN
MAFG_HUMAN.H10MO.C	MAFG	21	C	Maf-related factors{1.1.3}	4097	MAFG_HUMAN
MAFG_HUMAN.H10MO.S	MAFG	7	S	Maf-related factors{1.1.3}	4097	MAFG_HUMAN
MAFK_HUMAN.H10MO.A	MAFK	22	A	Maf-related factors{1.1.3}	7975	MAFK_HUMAN
MAFK_HUMAN.H10MO.S	MAFK	10	S	Maf-related factors{1.1.3}	7975	MAFK_HUMAN
MAF_HUMAN.H10MO.B	MAF	8	B	Maf-related factors{1.1.3}	4094	MAF_HUMAN
MAX_HUMAN.H10MO.A	MAX	11	A	bHLH-ZIP factors{1.2.6}	4149	MAX_HUMAN
MAZ_HUMAN.H10MO.A	MAZ	22	A	Factors with multiple dispersed zinc fingers{2.3.4}	4150	MAZ_HUMAN
MBD2_HUMAN.H10MO.B	MBD2	11	B		8932	MBD2_HUMAN
MCR_HUMAN.H10MO.D	NR3C2	17	D	Steroid hormone receptors (NR3){2.1.1}	4306	MCR_HUMAN
MECP2_HUMAN.H10MO.C	MECP2	7	C		4204	MECP2_HUMAN
MEF2A_HUMAN.H10MO.A	MEF2A	13	A	Regulators of differentiation{5.1.1}	4205	MEF2A_HUMAN
MEF2B_HUMAN.H10MO.D	MEF2B	16	D	Regulators of differentiation{5.1.1}	100271849; 4207	MEF2B_HUMAN
MEF2C_HUMAN.H10MO.C	MEF2C	13	C	Regulators of differentiation{5.1.1}	4208	MEF2C_HUMAN
MEF2D_HUMAN.H10MO.C	MEF2D	12	C	Regulators of differentiation{5.1.1}	4209	MEF2D_HUMAN
MEIS1_HUMAN.H10MO.C	MEIS1	13	C	TALE-type homeo domain factors{3.1.4}	4211	MEIS1_HUMAN
MEIS2_HUMAN.H10MO.B	MEIS2	13	B	TALE-type homeo domain factors{3.1.4}	4212	MEIS2_HUMAN
MEIS3_HUMAN.H10MO.D	MEIS3	11	D	TALE-type homeo domain factors{3.1.4}	56917	MEIS3_HUMAN
MEOX1_HUMAN.H10MO.D	MEOX1	16	D	HOX-related factors{3.1.1}	4222	MEOX1_HUMAN
MEOX2_HUMAN.H10MO.D	MEOX2	11	D	HOX-related factors{3.1.1}	4223	MEOX2_HUMAN
MESP1_HUMAN.H10MO.D	MESP1	11	D	Tal-related factors{1.2.3}	55897	MESP1_HUMAN
MGAP_HUMAN.H10MO.D	MGA	16	D	bHLH-ZIP factors{1.2.6}; TBX6-related factors{6.5.5}	23269	MGAP_HUMAN
MITF_HUMAN.H10MO.C	MITF	10	C	bHLH-ZIP factors{1.2.6}	4286	MITF_HUMAN
MIXL1_HUMAN.H10MO.D	MIXL1	11	D	Paired-related HD factors{3.1.3}	83881	MIXL1_HUMAN
MLXPL_HUMAN.H10MO.D	MLXIPL	19	D	bHLH-ZIP factors{1.2.6}	51085	MLXPL_HUMAN
MLX_HUMAN.H10MO.D	MLX	11	D	bHLH-ZIP factors{1.2.6}	6945	MLX_HUMAN
MNT_HUMAN.H10MO.D	MNT	16	D	bHLH-ZIP factors{1.2.6}	4335	MNT_HUMAN
MNX1_HUMAN.H10MO.D	MNX1	19	D	HOX-related factors{3.1.1}	3110	MNX1_HUMAN
MSX1_HUMAN.H10MO.D	MSX1	18	D	NK-related factors{3.1.2}	4487	MSX1_HUMAN
MSX2_HUMAN.H10MO.D	MSX2	7	D	NK-related factors{3.1.2}	4488	MSX2_HUMAN
MTF1_HUMAN.H10MO.C	MTF1	17	C	More than 3 adjacent zinc finger factors{2.3.3}	4520	MTF1_HUMAN
MUSC_HUMAN.H10MO.D	MSC	18	D	Tal-related factors{1.2.3}	9242	MUSC_HUMAN
MYBA_HUMAN.H10MO.D	MYBL1	11	D	Myb/SANT domain factors{3.5.1}	4603	MYBA_HUMAN
MYBB_HUMAN.H10MO.D	MYBL2	10	D	Myb/SANT domain factors{3.5.1}	4605	MYBB_HUMAN
MYB_HUMAN.H10MO.C	MYB	7	C	Myb/SANT domain factors{3.5.1}	4602	MYB_HUMAN
MYCN_HUMAN.H10MO.B	MYCN	8	B	bHLH-ZIP factors{1.2.6}	4613	MYCN_HUMAN
MYC_HUMAN.H10MO.A	MYC	11	A	bHLH-ZIP factors{1.2.6}	4609	MYC_HUMAN
MYF6_HUMAN.H10MO.C	MYF6	7	C	MyoD / ASC-related factors{1.2.2}	4618	MYF6_HUMAN
MYOD1_HUMAN.H10MO.C	MYOD1	9	C	MyoD / ASC-related factors{1.2.2}	4654	MYOD1_HUMAN
MYOG_HUMAN.H10MO.D	MYOG	13	D	MyoD / ASC-related factors{1.2.2}	4656	MYOG_HUMAN
MZF1_HUMAN.H10MO.D	MZF1	9	D	More than 3 adjacent zinc finger factors{2.3.3}	7593	MZF1_HUMAN
NANOG_HUMAN.H10MO.A	NANOG	17	A	NK-related factors{3.1.2}	79923	NANOG_HUMAN
NANOG_HUMAN.H10MO.S	NANOG	8	S	NK-related factors{3.1.2}	79923	NANOG_HUMAN
NDF1_HUMAN.H10MO.C	NEUROD1	12	C	Tal-related factors{1.2.3}	4760	NDF1_HUMAN
NDF2_HUMAN.H10MO.D	NEUROD2	11	D	Tal-related factors{1.2.3}	4761	NDF2_HUMAN
NF2L1_HUMAN.H10MO.C	NFE2L1	7	C	Jun-related factors{1.1.1}	4779	NF2L1_HUMAN
NF2L2_HUMAN.H10MO.D	NFE2L2	12	D	Jun-related factors{1.1.1}	4780	NF2L2_HUMAN
NFAC1_HUMAN.H10MO.A	NFATC1	12	A	NFAT-related factors{6.1.3}	4772	NFAC1_HUMAN
NFAC1_HUMAN.H10MO.S	NFATC1	13	S	NFAT-related factors{6.1.3}	4772	NFAC1_HUMAN
NFAC2_HUMAN.H10MO.B	NFATC2	9	B	NFAT-related factors{6.1.3}	4773	NFAC2_HUMAN
NFAC3_HUMAN.H10MO.B	NFATC3	9	B	NFAT-related factors{6.1.3}	4775	NFAC3_HUMAN
NFAC4_HUMAN.H10MO.C	NFATC4	10	C	NFAT-related factors{6.1.3}	4776	NFAC4_HUMAN
NFAT5_HUMAN.H10MO.D	NFAT5	15	D	NFAT-related factors{6.1.3}	10725	NFAT5_HUMAN
NFE2_HUMAN.H10MO.B	NFE2	14	B	Jun-related factors{1.1.1}	4778	NFE2_HUMAN
NFIA_HUMAN.H10MO.C	NFIA	15	C	Nuclear factor 1{7.1.2}	4774	NFIA_HUMAN
NFIA_HUMAN.H10MO.S	NFIA	7	S	Nuclear factor 1{7.1.2}	4774	NFIA_HUMAN
NFIC_HUMAN.H10MO.A	NFIC	17	A	Nuclear factor 1{7.1.2}	4782	NFIC_HUMAN
NFIL3_HUMAN.H10MO.C	NFIL3	14	C	C/EBP-related{1.1.8}	4783	NFIL3_HUMAN
NFKB1_HUMAN.H10MO.B	NFKB1	11	B	NF-kappaB-related factors{6.1.1}	4790	NFKB1_HUMAN
NFKB2_HUMAN.H10MO.D	NFKB2	11	D	NF-kappaB-related factors{6.1.1}	4791	NFKB2_HUMAN
NFYA_HUMAN.H10MO.A	NFYA	13	A	Heteromeric CCAAT-binding factors{4.2.1}	4800	NFYA_HUMAN
NFYB_HUMAN.H10MO.A	NFYB	13	A	Heteromeric CCAAT-binding factors{4.2.1}	4801	NFYB_HUMAN
NFYC_HUMAN.H10MO.B	NFYC	14	B	Heteromeric CCAAT-binding factors{4.2.1}	4802	NFYC_HUMAN
NGN2_HUMAN.H10MO.D	NEUROG2	13	D	Tal-related factors{1.2.3}	63973	NGN2_HUMAN
NKX21_HUMAN.H10MO.D	NKX2-1	10	D	NK-related factors{3.1.2}	7080	NKX21_HUMAN
NKX22_HUMAN.H10MO.D	NKX2-2	12	D	NK-related factors{3.1.2}	4821	NKX22_HUMAN
NKX23_HUMAN.H10MO.D	NKX2-3	11	D	NK-related factors{3.1.2}	159296	NKX23_HUMAN
NKX25_HUMAN.H10MO.C	NKX2-5	7	C	NK-related factors{3.1.2}	1482	NKX25_HUMAN
NKX28_HUMAN.H10MO.C	NKX2-8	9	C	NK-related factors{3.1.2}	26257	NKX28_HUMAN
NKX31_HUMAN.H10MO.C	NKX3-1	13	C	NK-related factors{3.1.2}	4824	NKX31_HUMAN
NKX32_HUMAN.H10MO.C	NKX3-2	11	C	NK-related factors{3.1.2}	579	NKX32_HUMAN
NKX61_HUMAN.H10MO.D	NKX6-1	19	D	NK-related factors{3.1.2}	4825	NKX61_HUMAN
NKX62_HUMAN.H10MO.D	NKX6-2	11	D	NK-related factors{3.1.2}	84504	NKX62_HUMAN
NOBOX_HUMAN.H10MO.C	NOBOX	9	C	Paired-related HD factors{3.1.3}	135935	NOBOX_HUMAN
NOTO_HUMAN.H10MO.D	NOTO	11	D	NK-related factors{3.1.2}	344022	NOTO_HUMAN
NR0B1_HUMAN.H10MO.D	NR0B1	10	D	DAX-related receptors (NR0){2.1.7}	190	NR0B1_HUMAN
NR1D1_HUMAN.H10MO.C	NR1D1	14	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	9572	NR1D1_HUMAN
NR1H2_HUMAN.H10MO.D	NR1H2	19	D	Thyroid hormone receptor-related factors (NR1){2.1.2}	7376	NR1H2_HUMAN
NR1H4_HUMAN.H10MO.C	NR1H4	14	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	9971	NR1H4_HUMAN
NR1I2_HUMAN.H10MO.C	NR1I2	19	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	8856	NR1I2_HUMAN
NR1I2_HUMAN.H10MO.S	NR1I2	8	S	Thyroid hormone receptor-related factors (NR1){2.1.2}	8856	NR1I2_HUMAN
NR1I3_HUMAN.H10MO.C	NR1I3	18	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	9970	NR1I3_HUMAN
NR1I3_HUMAN.H10MO.S	NR1I3	8	S	Thyroid hormone receptor-related factors (NR1){2.1.2}	9970	NR1I3_HUMAN
NR2C1_HUMAN.H10MO.C	NR2C1	13	C	RXR-related receptors (NR2){2.1.3}	7181	NR2C1_HUMAN
NR2C2_HUMAN.H10MO.A	NR2C2	13	A	RXR-related receptors (NR2){2.1.3}	7182	NR2C2_HUMAN
NR2E1_HUMAN.H10MO.D	NR2E1	17	D	RXR-related receptors (NR2){2.1.3}	7101	NR2E1_HUMAN
NR2E3_HUMAN.H10MO.C	NR2E3	14	C	RXR-related receptors (NR2){2.1.3}	10002	NR2E3_HUMAN
NR2F6_HUMAN.H10MO.D	NR2F6	18	D	RXR-related receptors (NR2){2.1.3}	2063	NR2F6_HUMAN
NR4A1_HUMAN.H10MO.C	NR4A1	9	C	NGFI-B-related receptors (NR4){2.1.4}	3164	NR4A1_HUMAN
NR4A2_HUMAN.H10MO.C	NR4A2	9	C	NGFI-B-related receptors (NR4){2.1.4}	4929	NR4A2_HUMAN
NR4A3_HUMAN.H10MO.D	NR4A3	10	D	NGFI-B-related receptors (NR4){2.1.4}	8013	NR4A3_HUMAN
NR5A2_HUMAN.H10MO.C	NR5A2	10	C	FTZ-F1-related receptors (NR5){2.1.5}	2494	NR5A2_HUMAN
NR6A1_HUMAN.H10MO.B	NR6A1	13	B	GCNF-related receptors (NR6){2.1.6}	2649	NR6A1_HUMAN
NRF1_HUMAN.H10MO.A	NRF1	18	A	NRF{0.0.6}	4899	NRF1_HUMAN
NRL_HUMAN.H10MO.D	NRL	11	D	Maf-related factors{1.1.3}	4901	NRL_HUMAN
OLIG1_HUMAN.H10MO.D	OLIG1	14	D	Tal-related factors{1.2.3}	116448	OLIG1_HUMAN
OLIG2_HUMAN.H10MO.D	OLIG2	11	D	Tal-related factors{1.2.3}	10215	OLIG2_HUMAN
OLIG3_HUMAN.H10MO.D	OLIG3	11	D	Tal-related factors{1.2.3}	167826	OLIG3_HUMAN
ONEC2_HUMAN.H10MO.D	ONECUT2	21	D	HD-CUT factors{3.1.9}	9480	ONEC2_HUMAN
ONEC3_HUMAN.H10MO.D	ONECUT3	12	D	HD-CUT factors{3.1.9}	390874	ONEC3_HUMAN
OTX1_HUMAN.H10MO.D	OTX1	8	D	Paired-related HD factors{3.1.3}	5013	OTX1_HUMAN
OTX2_HUMAN.H10MO.C	OTX2	15	C	Paired-related HD factors{3.1.3}	5015	OTX2_HUMAN
OVOL1_HUMAN.H10MO.C	OVOL1	9	C	More than 3 adjacent zinc finger factors{2.3.3}	5017	OVOL1_HUMAN
P53_HUMAN.H10MO.B	TP53	20	B	p53-related factors{6.3.1}	7157	P53_HUMAN
P5F1B_HUMAN.H10MO.D	POU5F1B	16	D	POU domain factors{3.1.10}	5462	P5F1B_HUMAN
P63_HUMAN.H10MO.A	TP63	19	A	p53-related factors{6.3.1}	8626	P63_HUMAN
P63_HUMAN.H10MO.S	TP63	11	S	p53-related factors{6.3.1}	8626	P63_HUMAN
P73_HUMAN.H10MO.A	TP73	20	A	p53-related factors{6.3.1}	7161	P73_HUMAN
P73_HUMAN.H10MO.S	TP73	12	S	p53-related factors{6.3.1}	7161	P73_HUMAN
PAX1_HUMAN.H10MO.D	PAX1	17	D	Paired domain only{3.2.2}	5075	PAX1_HUMAN
PAX2_HUMAN.H10MO.D	PAX2	18	D	Paired domain only{3.2.2}	5076	PAX2_HUMAN
PAX2_HUMAN.H10MO.S	PAX2	7	S	Paired domain only{3.2.2}	5076	PAX2_HUMAN
PAX3_HUMAN.H10MO.D	PAX3	13	D	Paired plus homeo domain{3.2.1}	5077	PAX3_HUMAN
PAX4_HUMAN.H10MO.D	PAX4	12	D	Paired plus homeo domain{3.2.1}	5078	PAX4_HUMAN
PAX5_HUMAN.H10MO.A	PAX5	21	A	Paired domain only{3.2.2}	5079	PAX5_HUMAN
PAX5_HUMAN.H10MO.S	PAX5	8	S	Paired domain only{3.2.2}	5079	PAX5_HUMAN
PAX6_HUMAN.H10MO.D	PAX6	11	D	Paired plus homeo domain{3.2.1}	5080	PAX6_HUMAN
PAX7_HUMAN.H10MO.D	PAX7	11	D	Paired plus homeo domain{3.2.1}	5081	PAX7_HUMAN
PAX8_HUMAN.H10MO.D	PAX8	14	D	Paired domain only{3.2.2}	7849	PAX8_HUMAN
PBX1_HUMAN.H10MO.B	PBX1	15	B	TALE-type homeo domain factors{3.1.4}	5087	PBX1_HUMAN
PBX2_HUMAN.H10MO.C	PBX2	15	C	TALE-type homeo domain factors{3.1.4}	5089	PBX2_HUMAN
PBX3_HUMAN.H10MO.B	PBX3	14	B	TALE-type homeo domain factors{3.1.4}	5090	PBX3_HUMAN
PDX1_HUMAN.H10MO.C	PDX1	9	C	HOX-related factors{3.1.1}	3651	PDX1_HUMAN
PEBB_HUMAN.H10MO.C	CBFB	11	C		865	PEBB_HUMAN
PHX2A_HUMAN.H10MO.D	PHOX2A	11	D	Paired-related HD factors{3.1.3}	401	PHX2A_HUMAN
PHX2B_HUMAN.H10MO.D	PHOX2B	11	D	Paired-related HD factors{3.1.3}	8929	PHX2B_HUMAN
PIT1_HUMAN.H10MO.C	POU1F1	13	C	POU domain factors{3.1.10}	5449	PIT1_HUMAN
PITX1_HUMAN.H10MO.D	PITX1	11	D	Paired-related HD factors{3.1.3}	5307	PITX1_HUMAN
PITX2_HUMAN.H10MO.D	PITX2	10	D	Paired-related HD factors{3.1.3}	5308	PITX2_HUMAN
PITX3_HUMAN.H10MO.D	PITX3	18	D	Paired-related HD factors{3.1.3}	5309	PITX3_HUMAN
PKNX1_HUMAN.H10MO.D	PKNOX1	13	D	TALE-type homeo domain factors{3.1.4}	5316	PKNX1_HUMAN
PKNX2_HUMAN.H10MO.D	PKNOX2	13	D	TALE-type homeo domain factors{3.1.4}	63876	PKNX2_HUMAN
PLAG1_HUMAN.H10MO.D	PLAG1	17	D	More than 3 adjacent zinc finger factors{2.3.3}	5324	PLAG1_HUMAN
PLAG1_HUMAN.H10MO.S	PLAG1	13	S	More than 3 adjacent zinc finger factors{2.3.3}	5324	PLAG1_HUMAN
PLAL1_HUMAN.H10MO.D	PLAGL1	10	D	More than 3 adjacent zinc finger factors{2.3.3}	5325	PLAL1_HUMAN
PO2F1_HUMAN.H10MO.B	POU2F1	9	B	POU domain factors{3.1.10}	5451	PO2F1_HUMAN
PO2F2_HUMAN.H10MO.D	POU2F2	16	D	POU domain factors{3.1.10}	5452	PO2F2_HUMAN
PO2F3_HUMAN.H10MO.D	POU2F3	14	D	POU domain factors{3.1.10}	25833	PO2F3_HUMAN
PO3F1_HUMAN.H10MO.C	POU3F1	14	C	POU domain factors{3.1.10}	5453	PO3F1_HUMAN
PO3F2_HUMAN.H10MO.D	POU3F2	10	D	POU domain factors{3.1.10}	5454	PO3F2_HUMAN
PO3F3_HUMAN.H10MO.D	POU3F3	17	D	POU domain factors{3.1.10}	5455	PO3F3_HUMAN
PO3F4_HUMAN.H10MO.D	POU3F4	17	D	POU domain factors{3.1.10}	5456	PO3F4_HUMAN
PO4F1_HUMAN.H10MO.D	POU4F1	14	D	POU domain factors{3.1.10}	5457	PO4F1_HUMAN
PO4F2_HUMAN.H10MO.D	POU4F2	13	D	POU domain factors{3.1.10}	5458	PO4F2_HUMAN
PO4F3_HUMAN.H10MO.D	POU4F3	15	D	POU domain factors{3.1.10}	5459	PO4F3_HUMAN
PO5F1_HUMAN.H10MO.A	POU5F1	16	A	POU domain factors{3.1.10}	5460	PO5F1_HUMAN
PO6F1_HUMAN.H10MO.D	POU6F1	13	D	POU domain factors{3.1.10}	5463	PO6F1_HUMAN
PO6F2_HUMAN.H10MO.D	POU6F2	11	D	POU domain factors{3.1.10}	11281	PO6F2_HUMAN
PPARA_HUMAN.H10MO.C	PPARA	13	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	5465	PPARA_HUMAN
PPARA_HUMAN.H10MO.S	PPARA	7	S	Thyroid hormone receptor-related factors (NR1){2.1.2}	5465	PPARA_HUMAN
PPARD_HUMAN.H10MO.D	PPARD	14	D	Thyroid hormone receptor-related factors (NR1){2.1.2}	5467	PPARD_HUMAN
PPARG_HUMAN.H10MO.A	PPARG	17	A	Thyroid hormone receptor-related factors (NR1){2.1.2}	5468	PPARG_HUMAN
PPARG_HUMAN.H10MO.S	PPARG	9	S	Thyroid hormone receptor-related factors (NR1){2.1.2}	5468	PPARG_HUMAN
PRD14_HUMAN.H10MO.C	PRDM14	14	C	More than 3 adjacent zinc finger factors{2.3.3}	63978	PRD14_HUMAN
PRDM1_HUMAN.H10MO.C	PRDM1	14	C	More than 3 adjacent zinc finger factors{2.3.3}	639	PRDM1_HUMAN
PRDM4_HUMAN.H10MO.D	PRDM4	16	D	Factors with multiple dispersed zinc fingers{2.3.4}	11108	PRDM4_HUMAN
PRGR_HUMAN.H10MO.C	PGR	13	C	Steroid hormone receptors (NR3){2.1.1}	5241	PRGR_HUMAN
PRGR_HUMAN.H10MO.S	PGR	7	S	Steroid hormone receptors (NR3){2.1.1}	5241	PRGR_HUMAN
PROP1_HUMAN.H10MO.D	PROP1	15	D	Paired-related HD factors{3.1.3}	5626	PROP1_HUMAN
PROX1_HUMAN.H10MO.D	PROX1	17	D	HD-PROS factors{3.1.7}	5629	PROX1_HUMAN
PRRX1_HUMAN.H10MO.D	PRRX1	7	D	Paired-related HD factors{3.1.3}	5396	PRRX1_HUMAN
PRRX2_HUMAN.H10MO.C	PRRX2	7	C	Paired-related HD factors{3.1.3}	51450	PRRX2_HUMAN
PTF1A_HUMAN.H10MO.C	PTF1A	21	C	Tal-related factors{1.2.3}	256297	PTF1A_HUMAN
PURA_HUMAN.H10MO.D	PURA	17	D	PUR{0.0.5}	5813	PURA_HUMAN
